1670534340.545495,10.10.1.100:37824,,,11,
1670534340.547005,10.10.1.100:37822,,,12,
1670534340.548331,10.10.1.100:37820,,,12,
1670534340.632664,10.10.1.100:37824,,,13,
1670534340.634196,10.10.1.100:37822,,,14,
1670534340.635560,10.10.1.100:37820,,,15,
1670534340.717865,10.10.1.100:37824,,,16,
1670534340.719356,10.10.1.100:37822,,,16,
1670534340.720686,10.10.1.100:37820,,,17,
1670534340.800546,10.10.1.100:37824,,,18,
1670534340.801996,10.10.1.100:37822,,,19,
1670534340.803383,10.10.1.100:37820,,,19,
1670534340.883521,10.10.1.100:37824,,,20,
1670534340.885030,10.10.1.100:37822,,,22,
1670534340.886359,10.10.1.100:37820,,,21,
1670534340.966709,10.10.1.100:37824,,,22,
1670534340.968280,10.10.1.100:37822,,,24,
1670534340.969631,10.10.1.100:37820,,,24,
1670534341.049279,10.10.1.100:37824,,,24,
1670534341.050752,10.10.1.100:37822,,,26,
1670534341.052116,10.10.1.100:37820,,,26,
1670534341.132087,10.10.1.100:37824,,,26,
1670534341.133551,10.10.1.100:37822,,,28,
1670534341.134950,10.10.1.100:37820,,,29,
1670534341.214041,10.10.1.100:37824,,,28,
1670534341.215502,10.10.1.100:37822,,,32,
1670534341.216872,10.10.1.100:37820,,,30,
1670534341.296532,10.10.1.100:37824,,,30,
1670534341.298019,10.10.1.100:37822,,,32,
1670534341.299437,10.10.1.100:37820,,,34,
1670534341.379324,10.10.1.100:37824,,,34,
1670534341.380825,10.10.1.100:37822,,,36,
1670534341.382163,10.10.1.100:37820,,,34,
1670534341.462008,10.10.1.100:37824,,,36,
1670534341.463543,10.10.1.100:37822,,,36,
1670534341.464981,10.10.1.100:37820,,,38,
1670534341.569194,10.10.1.100:37824,,,38,
1670534341.571925,10.10.1.100:37822,,,40,
1670534341.574686,10.10.1.100:37820,,,38,
1670534341.723748,10.10.1.100:37824,,,42,
1670534341.726309,10.10.1.100:37822,,,44,
1670534341.728739,10.10.1.100:37820,,,42,
1670534341.861205,10.10.1.100:37824,,,44,
1670534341.862651,10.10.1.100:37822,,,48,
1670534341.864037,10.10.1.100:37820,1,1,40,
1670534341.944172,10.10.1.100:37824,2,2,43,
1670534341.945644,10.10.1.100:37822,2,2,47,
1670534341.947035,10.10.1.100:37820,1,1,40,
1670534342.026807,10.10.1.100:37824,3,3,42,
1670534342.028367,10.10.1.100:37822,4,4,45,
1670534342.029721,10.10.1.100:37820,4,4,35,
1670534342.109722,10.10.1.100:37824,5,5,39,
1670534342.111205,10.10.1.100:37822,5,5,44,
1670534342.112568,10.10.1.100:37820,7,7,32,
1670534342.192427,10.10.1.100:37824,7,7,37,
